british hurdler sarah claxton is confident
hurdler sarah claxton is confident she
sarah claxton is confident she can
claxton is confident she can win
is confident she can win her
confident she can win her first
she can win her first major
can win her first major medal
win her first major medal at
her first major medal at next
first major medal at next months
major medal at next months european
medal at next months european indoor
at next months european indoor championships
the thisisanumber has already smashed the
thisisanumber has already smashed the british
has already smashed the british record
already smashed the british record over
smashed the british record over thisisanumber
the british record over thisisanumber hurdles
british record over thisisanumber hurdles twice
record over thisisanumber hurdles twice this
over thisisanumber hurdles twice this season
thisisanumber hurdles twice this season setting
hurdles twice this season setting a
twice this season setting a new
this season setting a new mark
season setting a new mark of
setting a new mark of thisisanumber
a new mark of thisisanumber seconds
new mark of thisisanumber seconds to
mark of thisisanumber seconds to win
of thisisanumber seconds to win the
but i take each race as
as long as i keep up
long as i keep up my
as i keep up my training
i keep up my training but
keep up my training but not
up my training but not do
my training but not do too
training but not do too much
but not do too much i
not do too much i think
do too much i think there
too much i think there is
much i think there is a
i think there is a chance
think there is a chance of
there is a chance of a
is a chance of a medal
a chance of a medal claxton
chance of a medal claxton has
of a medal claxton has won
a medal claxton has won the
medal claxton has won the national
claxton has won the national thisisanumber
has won the national thisisanumber hurdles
won the national thisisanumber hurdles title
the national thisisanumber hurdles title for
national thisisanumber hurdles title for the
thisisanumber hurdles title for the past
hurdles title for the past three
title for the past three years
for the past three years but
the past three years but has
past three years but has struggled
three years but has struggled to
years but has struggled to translate
but has struggled to translate her
has struggled to translate her domestic
struggled to translate her domestic success
to translate her domestic success to
translate her domestic success to the
now the scotlandborn athlete owns the
the scotlandborn athlete owns the equal
scotlandborn athlete owns the equal fifthfastest
athlete owns the equal fifthfastest time
owns the equal fifthfastest time in
the equal fifthfastest time in the
equal fifthfastest time in the world
and at last weeks birmingham grand
at last weeks birmingham grand prix
last weeks birmingham grand prix claxton
weeks birmingham grand prix claxton left
birmingham grand prix claxton left european
grand prix claxton left european medal
prix claxton left european medal favourite
claxton left european medal favourite russian
left european medal favourite russian irina
european medal favourite russian irina shevchenko
medal favourite russian irina shevchenko trailing
favourite russian irina shevchenko trailing in
for the first time claxton has
the first time claxton has only
first time claxton has only been
time claxton has only been preparing
claxton has only been preparing for
has only been preparing for a
only been preparing for a campaign
been preparing for a campaign over
preparing for a campaign over the
for a campaign over the hurdles
a campaign over the hurdles which
campaign over the hurdles which could
over the hurdles which could explain
the hurdles which could explain her
hurdles which could explain her leap
in previous seasons the thisisanumber also
previous seasons the thisisanumber also contested
seasons the thisisanumber also contested the
the thisisanumber also contested the long
thisisanumber also contested the long jump
also contested the long jump but
contested the long jump but since
the long jump but since moving
long jump but since moving from
jump but since moving from colchester
but since moving from colchester to
since moving from colchester to london
moving from colchester to london she
from colchester to london she has
colchester to london she has refocused
claxton will see if her new
will see if her new training
see if her new training regime
if her new training regime pays
her new training regime pays dividends
new training regime pays dividends at
training regime pays dividends at the
regime pays dividends at the european
pays dividends at the european indoors
dividends at the european indoors which
at the european indoors which take
the european indoors which take place
european indoors which take place on
sonia osullivan has indicated that she
osullivan has indicated that she would
has indicated that she would like
indicated that she would like to
that she would like to participate
she would like to participate in
would like to participate in next
like to participate in next months
to participate in next months world
participate in next months world cross
in next months world cross country
next months world cross country championships
months world cross country championships in
athletics ireland have hinted that the
ireland have hinted that the thisisanumber
have hinted that the thisisanumber cobh
hinted that the thisisanumber cobh runner
that the thisisanumber cobh runner may
the thisisanumber cobh runner may be
thisisanumber cobh runner may be included
cobh runner may be included in
runner may be included in the
may be included in the official
be included in the official lineup
included in the official lineup for
in the official lineup for the
the official lineup for the event
official lineup for the event in
lineup for the event in france
for the event in france on
provincial teams were selected after last
teams were selected after last saturdays
were selected after last saturdays nationals
selected after last saturdays nationals in
after last saturdays nationals in santry
last saturdays nationals in santry and
saturdays nationals in santry and will
nationals in santry and will be
in santry and will be officially
santry and will be officially announced
osullivan is at present preparing for
is at present preparing for the
at present preparing for the london
present preparing for the london marathon
preparing for the london marathon on
the participation of osullivan currentily training
participation of osullivan currentily training at
of osullivan currentily training at her
osullivan currentily training at her base
currentily training at her base in
training at her base in australia
at her base in australia would
her base in australia would boost
base in australia would boost the
in australia would boost the ireland
australia would boost the ireland team
would boost the ireland team who
boost the ireland team who won
the ireland team who won the
ireland team who won the bronze
team who won the bronze three
the first three at santry last
first three at santry last saturday
three at santry last saturday jolene
at santry last saturday jolene byrne
santry last saturday jolene byrne maria
last saturday jolene byrne maria mccambridge
saturday jolene byrne maria mccambridge and
jolene byrne maria mccambridge and fionnualla
byrne maria mccambridge and fionnualla britton
maria mccambridge and fionnualla britton are
mccambridge and fionnualla britton are automatic
and fionnualla britton are automatic selections
fionnualla britton are automatic selections and
britton are automatic selections and will
are automatic selections and will most
automatic selections and will most likely
selections and will most likely form
and will most likely form part
will most likely form part of
most likely form part of the
osullivan will also take part in
will also take part in the
also take part in the bupa
take part in the bupa great
part in the bupa great ireland
in the bupa great ireland run
the bupa great ireland run on
bupa great ireland run on thisisanumber
great ireland run on thisisanumber april
maurice greene aims to wipe out
greene aims to wipe out the
aims to wipe out the pain
to wipe out the pain of
wipe out the pain of losing
out the pain of losing his
the pain of losing his olympic
pain of losing his olympic thisisanumber
of losing his olympic thisisanumber title
losing his olympic thisisanumber title in
his olympic thisisanumber title in athens
olympic thisisanumber title in athens by
thisisanumber title in athens by winning
title in athens by winning a
in athens by winning a fourth
athens by winning a fourth world
by winning a fourth world championship
winning a fourth world championship crown
he had to settle for bronze
had to settle for bronze in
to settle for bronze in greece
settle for bronze in greece behind
for bronze in greece behind fellow
bronze in greece behind fellow american
in greece behind fellow american justin
greece behind fellow american justin gatlin
behind fellow american justin gatlin and
fellow american justin gatlin and francis
american justin gatlin and francis obikwelu
it really hurts to look at
i lost because of the things
lost because of the things i
because of the things i did
of the things i did said
the things i did said greene
things i did said greene who
i did said greene who races
did said greene who races in
said greene who races in birmingham
my goal im going to win
goal im going to win the
im going to win the worlds
going to win the worlds greene
to win the worlds greene crossed
win the worlds greene crossed the
the worlds greene crossed the line
worlds greene crossed the line just
greene crossed the line just thisisanumber
crossed the line just thisisanumber seconds
the line just thisisanumber seconds behind
line just thisisanumber seconds behind gatlin
just thisisanumber seconds behind gatlin who
thisisanumber seconds behind gatlin who won
seconds behind gatlin who won in
behind gatlin who won in thisisanumber
gatlin who won in thisisanumber seconds
who won in thisisanumber seconds in
won in thisisanumber seconds in one
in thisisanumber seconds in one of
thisisanumber seconds in one of the
seconds in one of the closest
in one of the closest and
one of the closest and fastest
of the closest and fastest sprints
the closest and fastest sprints of
but greene believes he lost the
greene believes he lost the race
believes he lost the race and
he lost the race and his
lost the race and his title
the race and his title in
in my semifinal race i should
my semifinal race i should have
semifinal race i should have won
race i should have won the
i should have won the race
should have won the race but
have won the race but i
won the race but i was
thats when francis obikwelu came up
when francis obikwelu came up and
francis obikwelu came up and i
obikwelu came up and i took
came up and i took third
up and i took third because
and i took third because i
i took third because i didnt
took third because i didnt know
third because i didnt know he
i believe thats what put me
believe thats what put me in
thats what put me in lane
what put me in lane seven
put me in lane seven in
me in lane seven in the
in lane seven in the final
lane seven in the final and
seven in the final and while
in the final and while i
the final and while i was
final and while i was in
and while i was in lane
while i was in lane seven
i was in lane seven i
was in lane seven i couldnt
in lane seven i couldnt feel
lane seven i couldnt feel anything
seven i couldnt feel anything in
i just felt like i was
just felt like i was running
i believe if i was in
believe if i was in the
if i was in the middle
i was in the middle of
was in the middle of the
in the middle of the race
the middle of the race i
middle of the race i would
of the race i would have
the race i would have been
race i would have been able
i would have been able to
would have been able to react
have been able to react to
been able to react to people
able to react to people that
to react to people that came
react to people that came ahead
to people that came ahead of
people that came ahead of me
that came ahead of me greene
came ahead of me greene was
ahead of me greene was also
of me greene was also denied
me greene was also denied olympic
greene was also denied olympic gold
was also denied olympic gold in
also denied olympic gold in the
denied olympic gold in the thisisanumber
olympic gold in the thisisanumber mens
gold in the thisisanumber mens relay
in the thisisanumber mens relay when
the thisisanumber mens relay when he
thisisanumber mens relay when he could
mens relay when he could not
relay when he could not catch
when he could not catch britains
he could not catch britains mark
could not catch britains mark lewisfrancis
not catch britains mark lewisfrancis on
catch britains mark lewisfrancis on the
the kansas star is set to
kansas star is set to go
star is set to go headtohead
is set to go headtohead with
set to go headtohead with lewisfrancis
to go headtohead with lewisfrancis again
go headtohead with lewisfrancis again at
headtohead with lewisfrancis again at fridays
with lewisfrancis again at fridays norwich
lewisfrancis again at fridays norwich union
the pair contest the thisisanumber the
pair contest the thisisanumber the distance
contest the thisisanumber the distance over
the thisisanumber the distance over which
thisisanumber the distance over which greene
the distance over which greene currently
distance over which greene currently holds
over which greene currently holds the
which greene currently holds the world
greene currently holds the world record
currently holds the world record of
he then has another indoor meeting
then has another indoor meeting in
has another indoor meeting in france
another indoor meeting in france before
