india has ordered the deportation of
has ordered the deportation of iranianborn
ordered the deportation of iranianborn model
the deportation of iranianborn model and
deportation of iranianborn model and actress
of iranianborn model and actress negar
iranianborn model and actress negar khan
model and actress negar khan to
and actress negar khan to norway
actress negar khan to norway after
negar khan to norway after saying
khan to norway after saying she
to norway after saying she was
norway after saying she was working
after saying she was working illegally
saying she was working illegally on
khan has had raunchy roles in
has had raunchy roles in music
had raunchy roles in music videos
raunchy roles in music videos and
roles in music videos and bollywood
in music videos and bollywood films
music videos and bollywood films over
videos and bollywood films over the
and bollywood films over the past
the distressed actress told media she
distressed actress told media she was
actress told media she was being
told media she was being driven
media she was being driven straight
she was being driven straight to
was being driven straight to the
being driven straight to the airport
driven straight to the airport after
straight to the airport after a
to the airport after a routine
the airport after a routine appointment
airport after a routine appointment at
after a routine appointment at the
a routine appointment at the bombay
immigration officials said she had been
officials said she had been warned
said she had been warned about
she had been warned about her
had been warned about her visa
khan told an indian news channel
told an indian news channel on
an indian news channel on her
indian news channel on her mobile
news channel on her mobile phone
channel on her mobile phone they
on her mobile phone they are
her mobile phone they are not
mobile phone they are not even
phone they are not even letting
they are not even letting me
are not even letting me go
not even letting me go home
even letting me go home to
letting me go home to get
i have no clothes or money
i dont know why they are
dont know why they are taking
know why they are taking me
why they are taking me away
they are not allowing me to
are not allowing me to even
not allowing me to even call
allowing me to even call a
me to even call a lawyer
to even call a lawyer bipin
even call a lawyer bipin bihari
call a lawyer bipin bihari deputy
a lawyer bipin bihari deputy police
lawyer bipin bihari deputy police chief
bipin bihari deputy police chief in
bihari deputy police chief in bombay
deputy police chief in bombay said
police chief in bombay said khan
chief in bombay said khan was
in bombay said khan was being
bombay said khan was being sent
said khan was being sent back
khan was being sent back to
was being sent back to norway
being sent back to norway from
sent back to norway from which
back to norway from which she
to norway from which she holds
norway from which she holds a
from which she holds a passport
which she holds a passport on
she holds a passport on the
holds a passport on the first
she was on a visitors visa
was on a visitors visa but
on a visitors visa but she
a visitors visa but she has
visitors visa but she has engaged
visa but she has engaged in
but she has engaged in several
she has engaged in several commercial
has engaged in several commercial ventures
we issued notices last year in
issued notices last year in view
notices last year in view of
last year in view of which
year in view of which she
in view of which she had
view of which she had gone
of which she had gone back
which she had gone back to
she had gone back to norway
had gone back to norway but
gone back to norway but she
back to norway but she has
to norway but she has returned
norway but she has returned again
but she has returned again this
she has returned again this year
has returned again this year to
returned again this year to work
again this year to work one
this year to work one of
year to work one of khans
to work one of khans biggest
work one of khans biggest successes
one of khans biggest successes was
of khans biggest successes was the
khans biggest successes was the steamy
biggest successes was the steamy hindi
successes was the steamy hindi song
was the steamy hindi song chadti
the steamy hindi song chadti jawani
khan was involved in controversy when
was involved in controversy when topless
involved in controversy when topless photos
in controversy when topless photos alleged
controversy when topless photos alleged to
when topless photos alleged to be
topless photos alleged to be of
photos alleged to be of her
alleged to be of her appeared
to be of her appeared in
be of her appeared in a
oscarnominated film biopic ray has surpassed
film biopic ray has surpassed its
biopic ray has surpassed its us
ray has surpassed its us box
has surpassed its us box office
surpassed its us box office takings
its us box office takings with
us box office takings with a
box office takings with a combined
office takings with a combined tally
takings with a combined tally of
with a combined tally of thisisanumber
a combined tally of thisisanumber thisisanumber
